MDA Test Program transfer to ATM,  Date:11-12-2009  Time:10:23:11.

Step 1031, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1032, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1033, change MODE=2, add OFFSET=0.6.
Step 1034, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1035, change MODE=2, add OFFSET=0.6.
Step 1036, change MODE=2, add OFFSET=0.6.
Step 1037, change MODE=2, add OFFSET=0.6.
Step 1038, change MODE=2, add OFFSET=0.6.
Step 1039, change MODE=2, add OFFSET=0.6.
Step 1040, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1041, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1042, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1043, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1044, change MODE=2, HIGH/LOW nail change, add OFFSET=0.6.
Step 1045, change MODE=2, HIGH/LOW nail change.
Step 1046, change MODE=2, HIGH/LOW nail change.
Step 1047, change MODE=2.
Step 1048, change MODE=2.
Step 1049, change MODE=2.
Step 1050, change MODE=2.
Step 1051, change MODE=2, HIGH/LOW nail change.
Step 1052, change MODE=2, HIGH/LOW nail change.
Step 1053, change MODE=2.
Step 1054, change MODE=2, HIGH/LOW nail change.
Step 1055, change MODE=2, HIGH/LOW nail change.
Step 1056, change MODE=2, HIGH/LOW nail change.
Step 1057, change MODE=2.
Step 1058, change MODE=2, HIGH/LOW nail change.
Step 1059, change MODE=2.
Step 1060, change MODE=2.
Step 1061, change MODE=2, HIGH/LOW nail change.
Step 1062, change MODE=2.
Step 1063, change MODE=2.
Step 1064, change MODE=2, HIGH/LOW nail change.
Step 1065, change MODE=2, HIGH/LOW nail change.
Step 1066, change MODE=2, HIGH/LOW nail change.
Step 1067, change MODE=2.
Step 1068, change MODE=2.
Step 1069, change MODE=2.
Step 1070, change MODE=2.
Step 1071, change MODE=2, HIGH/LOW nail change.
Step 1072, change MODE=2, HIGH/LOW nail change.
Step 1073, change MODE=2, HIGH/LOW nail change.
Step 1074, change MODE=2, HIGH/LOW nail change.
Step 1075, change MODE=2, HIGH/LOW nail change.
Step 1076, change MODE=2, HIGH/LOW nail change.
Step 1077, change MODE=2.
Step 2058(Cap), HIGH/LOW nail change.
Step 2059(Cap), HIGH/LOW nail change.
Step 2060(Cap), HIGH/LOW nail change.
Step 2061(Cap), HIGH/LOW nail change.
Step 2062(Cap), HIGH/LOW nail change.
Step 2063(Cap), HIGH/LOW nail change.
Step 2064(Cap), HIGH/LOW nail change.
Step 2065(Cap), HIGH/LOW nail change.
Step 2066(Cap), HIGH/LOW nail change.
Step 2067(Cap), HIGH/LOW nail change.
Step 2068(Cap), HIGH/LOW nail change.
Step 2069(Cap), HIGH/LOW nail change.
Step 2070(Cap), HIGH/LOW nail change.
Step 2071(Cap), HIGH/LOW nail change.
Step 2072(Cap), HIGH/LOW nail change.
Step 2073(Cap), HIGH/LOW nail change.
Step 2074(Cap), HIGH/LOW nail change.
Step 2075(Cap), HIGH/LOW nail change.
Step 2076(Cap), HIGH/LOW nail change.
Step 2077(Cap), HIGH/LOW nail change.
Step 2078(Cap), HIGH/LOW nail change.
Step 2079(Cap), HIGH/LOW nail change.
Step 2080(Cap), HIGH/LOW nail change.
Step 2081(Cap), HIGH/LOW nail change.
Step 2082(Cap), HIGH/LOW nail change.
Step 2083(Cap), HIGH/LOW nail change.
Step 2084(Cap), HIGH/LOW nail change.
Step 2085(Cap), HIGH/LOW nail change.
Step 2089(Cap), HIGH/LOW nail change.
Step 2090(Cap), HIGH/LOW nail change.
Step 2091(Cap), HIGH/LOW nail change.
Step 2092(Cap), HIGH/LOW nail change.
Step 2093(Cap), HIGH/LOW nail change.
Step 2094(Cap), HIGH/LOW nail change.
Step 2095(Cap), HIGH/LOW nail change.
Step 2096(Cap), HIGH/LOW nail change.
Step 2097(Cap), HIGH/LOW nail change.
Step 2098(Cap), HIGH/LOW nail change.
Step 2099(Cap), HIGH/LOW nail change.
Step 2100(Cap), HIGH/LOW nail change.
Step 2101(Cap), HIGH/LOW nail change.
Step 2102(Cap), HIGH/LOW nail change.
Step 2103(Cap), HIGH/LOW nail change.
Step 2104(Cap), HIGH/LOW nail change.
Step 2105(Cap), HIGH/LOW nail change.
Step 2106(Cap), HIGH/LOW nail change.
Step 2107(Cap), HIGH/LOW nail change.
Step 2108(Cap), HIGH/LOW nail change.
Step 2109(Cap), HIGH/LOW nail change.
Step 2110(Cap), HIGH/LOW nail change.
Step 2111(Cap), HIGH/LOW nail change.
Step 2112(Cap), HIGH/LOW nail change.
Step 2113(Cap), HIGH/LOW nail change.
Step 2114(Cap), HIGH/LOW nail change.
Step 2115(Cap), HIGH/LOW nail change.
Step 2116(Cap), HIGH/LOW nail change.
Step 2117(Cap), HIGH/LOW nail change.
Step 2118(Cap), HIGH/LOW nail change.
Step 2119(Cap), HIGH/LOW nail change.
Step 2120(Cap), HIGH/LOW nail change.
Step 2121(Cap), HIGH/LOW nail change.
Step 2122(Cap), HIGH/LOW nail change.
Step 2123(Cap), HIGH/LOW nail change.
Step 2124(Cap), HIGH/LOW nail change.
Step 2125(Cap), HIGH/LOW nail change.
Step 2126(Cap), HIGH/LOW nail change.
Step 2127(Cap), HIGH/LOW nail change.
Step 2128(Cap), HIGH/LOW nail change.
Step 2129(Cap), HIGH/LOW nail change.
Step 2130(Cap), HIGH/LOW nail change.
Step 2131(Cap), HIGH/LOW nail change.
Step 2132(Cap), HIGH/LOW nail change.
Step 2133(Cap), HIGH/LOW nail change.
Step 2134(Cap), HIGH/LOW nail change.
Step 2135(Cap), HIGH/LOW nail change.
Step 2136(Cap), HIGH/LOW nail change.
Step 2137(Cap), HIGH/LOW nail change.
Step 2138(Cap), HIGH/LOW nail change.
Step 2139(Cap), HIGH/LOW nail change.
Step 2140(Cap), HIGH/LOW nail change.
Step 2141(Cap), HIGH/LOW nail change.
Step 2142(Cap), HIGH/LOW nail change.
Step 2143(Cap), HIGH/LOW nail change.
Step 2144(Cap), HIGH/LOW nail change.
Step 2145(Cap), HIGH/LOW nail change.
Step 2146(Cap), HIGH/LOW nail change.
Step 2147(Cap), HIGH/LOW nail change.
Step 2148(Cap), HIGH/LOW nail change.
Step 2149(Cap), HIGH/LOW nail change.
Step 2150(Cap), HIGH/LOW nail change.
Step 2151(Cap), HIGH/LOW nail change.
Step 2152(Cap), HIGH/LOW nail change.
Step 2153(Cap), HIGH/LOW nail change.
Step 2154(Cap), HIGH/LOW nail change.
Step 2155(Cap), HIGH/LOW nail change.
Step 2156(Cap), HIGH/LOW nail change.
Step 2157(Cap), HIGH/LOW nail change.
Step 2158(Cap), HIGH/LOW nail change.
Step 2160(Cap), HIGH/LOW nail change.
Step 2161(Cap), HIGH/LOW nail change.
Step 2162(Cap), HIGH/LOW nail change.
Step 2163(Cap), HIGH/LOW nail change.
Step 2164(Cap), HIGH/LOW nail change.
Step 2166(Cap), HIGH/LOW nail change.
Step 2167(Cap), HIGH/LOW nail change.
Step 2168(Cap), HIGH/LOW nail change.
Step 2169(Cap), HIGH/LOW nail change.
Step 2170(Cap), HIGH/LOW nail change.
Step 2171(Cap), HIGH/LOW nail change.
Step 2172(Cap), HIGH/LOW nail change.
Step 2173(Cap), HIGH/LOW nail change.
Step 2174(Cap), HIGH/LOW nail change.
Step 2175(Cap), HIGH/LOW nail change.
Step 2176(Cap), HIGH/LOW nail change.
Step 2177(Cap), HIGH/LOW nail change.
Step 2178(Cap), HIGH/LOW nail change.
Step 2179(Cap), HIGH/LOW nail change.
Step 2180(Cap), HIGH/LOW nail change.
Step 2181(Cap), HIGH/LOW nail change.
Step 2182(Cap), HIGH/LOW nail change.
Step 2183(Cap), HIGH/LOW nail change.
Step 2184(Cap), HIGH/LOW nail change.
Step 2185(Cap), HIGH/LOW nail change.
Step 2186(Cap), HIGH/LOW nail change.
Step 2187(Cap), HIGH/LOW nail change.
Step 2188(Cap), HIGH/LOW nail change.
Step 2189(Cap), HIGH/LOW nail change.
Step 2190(Cap), HIGH/LOW nail change.
Step 2191(Cap), HIGH/LOW nail change.
Step 2192(Cap), HIGH/LOW nail change.
Step 2193(Cap), HIGH/LOW nail change.
Step 2194(Cap), HIGH/LOW nail change.
Step 2195(Cap), HIGH/LOW nail change.
Step 2196(Cap), HIGH/LOW nail change.
Step 2197(Cap), HIGH/LOW nail change.
Step 2198(Cap), HIGH/LOW nail change.
Step 2199(Cap), HIGH/LOW nail change.
Step 2200(Cap), HIGH/LOW nail change.
Step 2201(Cap), HIGH/LOW nail change.
Step 2202(Cap), HIGH/LOW nail change.
Step 2203(Cap), HIGH/LOW nail change.
Step 2204(Cap), HIGH/LOW nail change.
Step 2205(Cap), HIGH/LOW nail change.
Step 2206(Cap), HIGH/LOW nail change.
Step 2207(Cap), HIGH/LOW nail change.
Step 2208(Cap), HIGH/LOW nail change.
Step 2209(Cap), HIGH/LOW nail change.
Step 2210(Cap), HIGH/LOW nail change.
Step 2211(Cap), HIGH/LOW nail change.
Step 2212(Cap), HIGH/LOW nail change.
Step 2213(Cap), HIGH/LOW nail change.
Step 2214(Cap), HIGH/LOW nail change.
Step 2215(Cap), HIGH/LOW nail change.
Step 2216(Cap), HIGH/LOW nail change.
Step 2217(Cap), HIGH/LOW nail change.
Step 2218(Cap), HIGH/LOW nail change.
Step 2219(Cap), HIGH/LOW nail change.
Step 2220(Cap), HIGH/LOW nail change.
Step 2221(Cap), HIGH/LOW nail change.
Step 2222(Cap), HIGH/LOW nail change.
Step 2223(Cap), HIGH/LOW nail change.
Step 2224(Cap), HIGH/LOW nail change.
Step 2225(Cap), HIGH/LOW nail change.
Step 2226(Cap), HIGH/LOW nail change.
Step 2227(Cap), HIGH/LOW nail change.
Step 2228(Cap), HIGH/LOW nail change.
Step 2229(Cap), HIGH/LOW nail change.
Step 2230(Cap), HIGH/LOW nail change.
Step 2231(Cap), HIGH/LOW nail change.
Step 2232(Cap), HIGH/LOW nail change.
Step 2233(Cap), HIGH/LOW nail change.
Step 2234(Cap), HIGH/LOW nail change.
Step 2235(Cap), HIGH/LOW nail change.
Step 2236(Cap), HIGH/LOW nail change.
Step 2237(Cap), HIGH/LOW nail change.
Step 2238(Cap), HIGH/LOW nail change.
Step 2239(Cap), HIGH/LOW nail change.
Step 2240(Cap), HIGH/LOW nail change.
Step 2241(Cap), HIGH/LOW nail change.
Step 2242(Cap), HIGH/LOW nail change.
Step 2243(Cap), HIGH/LOW nail change.
Step 2244(Cap), HIGH/LOW nail change.
Step 2245(Cap), HIGH/LOW nail change.
Step 2246(Cap), HIGH/LOW nail change.
Step 2247(Cap), HIGH/LOW nail change.
Step 2248(Cap), HIGH/LOW nail change.
Step 2249(Cap), HIGH/LOW nail change.
Step 2250(Cap), HIGH/LOW nail change.
Step 2251(Cap), HIGH/LOW nail change.
Step 2252(Cap), HIGH/LOW nail change.
Step 2253(Cap), HIGH/LOW nail change.
Step 2254(Cap), HIGH/LOW nail change.
Step 2255(Cap), HIGH/LOW nail change.
Step 2256(Cap), HIGH/LOW nail change.
Step 2257(Cap), HIGH/LOW nail change.
Step 2258(Cap), HIGH/LOW nail change.
Step 2259(Cap), HIGH/LOW nail change.
Step 2260(Cap), HIGH/LOW nail change.
Step 2261(Cap), HIGH/LOW nail change.
Step 2262(Cap), HIGH/LOW nail change.
Step 2263(Cap), HIGH/LOW nail change.
Step 2264(Cap), HIGH/LOW nail change.
Step 2265(Cap), HIGH/LOW nail change.
Step 2266(Cap), HIGH/LOW nail change.
Step 2267(Cap), HIGH/LOW nail change.
Step 2268(Cap), HIGH/LOW nail change.
Step 2269(Cap), HIGH/LOW nail change.
Step 2270(Cap), HIGH/LOW nail change.
Step 2271(Cap), HIGH/LOW nail change.
Step 2272(Cap), HIGH/LOW nail change.
Step 2273(Cap), HIGH/LOW nail change.
Step 2274(Cap), HIGH/LOW nail change.
Step 2275(Cap), HIGH/LOW nail change.
Step 2276(Cap), HIGH/LOW nail change.
Step 2277(Cap), HIGH/LOW nail change.
Step 2280(Cap), HIGH/LOW nail change.
Step 2281(Cap), HIGH/LOW nail change.
Step 2282(Cap), HIGH/LOW nail change.
Step 2283(Cap), HIGH/LOW nail change.
Step 2284(Cap), HIGH/LOW nail change.
Step 2285(Cap), HIGH/LOW nail change.
Step 2286(Cap), HIGH/LOW nail change.
Step 2287(Cap), HIGH/LOW nail change.
Step 2288(Cap), HIGH/LOW nail change.
Step 2289(Cap), HIGH/LOW nail change.
Step 2290(Cap), HIGH/LOW nail change.
Step 2291(Cap), HIGH/LOW nail change.
Step 2292(Cap), HIGH/LOW nail change.
Step 2293(Cap), HIGH/LOW nail change.
Step 2294(Cap), change MODE=13.
Step 2295(Cap), change MODE=13.
Step 2296(Cap), change MODE=13.
Step 2297(Cap), change MODE=13.
Step 2298(Cap), change MODE=13.
Step 2299(Cap), change MODE=13.
Step 2300(Cap), change MODE=13.
Step 2301(Cap), change MODE=13.
Step 2302(Cap), change MODE=13.
Step 2303(Cap), change MODE=13.
Step 2304(Cap), change MODE=13.
Step 2305(Cap), change MODE=13.
Step 2306(Cap), change MODE=13.
Step 2307(Cap), change MODE=13.
Step 2308(Cap), change MODE=13.
Step 2309(Cap), change MODE=13.
Step 2310(Cap), change MODE=13.
Step 2311(Cap), change MODE=13.
Step 2312(Cap), change MODE=13.
Step 2313(Cap), change MODE=13.
Step 2314(Cap), change MODE=13.
Step 2315(Cap), change MODE=13.
Step 2316(Cap), change MODE=13.
Step 2317(Cap), change MODE=13.
Step 2318(Cap), change MODE=13.
Step 2319(Cap), change MODE=13.
Step 2320(Cap), change MODE=13.
Step 2321(Cap), change MODE=13.
Step 2322(Cap), change MODE=13.
Step 2323(Cap), change MODE=13.
Step 2324(Cap), change MODE=13.
Step 2325(Cap), change MODE=13.
Step 2326(Cap), change MODE=13.
Step 2327(Cap), change MODE=13.
Step 2328(Cap), change MODE=13.
Step 2329(Cap), change MODE=13.
Step 2330(Cap), change MODE=13.
Step 2331(Cap), change MODE=13.
Step 2332(Cap), change MODE=13.
Step 2333(Cap), change MODE=13.
Step 2334(Cap), change MODE=13.
Step 2335(Cap), change MODE=13.
Step 2336(Cap), change MODE=13.
Step 2337(Cap), change MODE=13.
Step 2338(Cap), change MODE=13.
Step 2339(Cap), change MODE=13.
Step 2340(Cap), change MODE=13.
Step 2341(Cap), change MODE=13.
Step 2342(Cap), change MODE=13.
Step 2343(Cap), change MODE=13.
Step 2344(Cap), HIGH/LOW nail change.
Step 2345(Cap), HIGH/LOW nail change.
Step 2346(Cap), HIGH/LOW nail change.
Step 2347(Cap), HIGH/LOW nail change.
Step 2349(Cap), HIGH/LOW nail change.
Step 2350(Cap), HIGH/LOW nail change.
Step 2351(Cap), HIGH/LOW nail change.
Step 2352(Cap), HIGH/LOW nail change.
Step 2353(Cap), HIGH/LOW nail change.
Step 2354(Cap), HIGH/LOW nail change.
Step 2355(Cap), HIGH/LOW nail change.
Step 2356(Cap), HIGH/LOW nail change.
Step 2357(Cap), HIGH/LOW nail change.
Step 2358(Cap), HIGH/LOW nail change.
Step 2359(Cap), HIGH/LOW nail change.
Step 2360(Cap), HIGH/LOW nail change.
Step 2361(Cap), HIGH/LOW nail change.
Step 2363(Cap), HIGH/LOW nail change.
Step 2365(Cap), HIGH/LOW nail change.
Step 2366(Cap), HIGH/LOW nail change.
Step 2367(Cap), HIGH/LOW nail change.
Step 2368(Cap), HIGH/LOW nail change.
Step 2369(Cap), HIGH/LOW nail change.
Step 2370(Cap), HIGH/LOW nail change.
Step 2371(Cap), HIGH/LOW nail change.
Step 2372(Cap), HIGH/LOW nail change.
Step 2373(Cap), HIGH/LOW nail change.
Step 2374(Cap), HIGH/LOW nail change.
Step 2375(Cap), HIGH/LOW nail change.
Step 2376(Cap), HIGH/LOW nail change.
Step 2377(Cap), HIGH/LOW nail change.
Step 2378(Cap), HIGH/LOW nail change.
Step 2379(Cap), HIGH/LOW nail change.
Step 2380(Cap), HIGH/LOW nail change.
Step 2381(Cap), HIGH/LOW nail change.
Step 2382(Cap), HIGH/LOW nail change.
Step 2383(Cap), HIGH/LOW nail change.
Step 2384(Cap), HIGH/LOW nail change.
Step 2385(Cap), HIGH/LOW nail change.
Step 2386(Cap), HIGH/LOW nail change.
Step 2389(Cap), HIGH/LOW nail change.
Step 2390(Cap), HIGH/LOW nail change.
Step 2392(Cap), HIGH/LOW nail change.
Step 2394(Cap), HIGH/LOW nail change.
Step 2396(Cap), HIGH/LOW nail change.
Step 2398(Cap), HIGH/LOW nail change.
Step 2401(Cap), HIGH/LOW nail change.
Step 2402(Cap), HIGH/LOW nail change.
Step 2404(Cap), HIGH/LOW nail change.
Step 2405(Cap), HIGH/LOW nail change.
Step 2406(Cap), HIGH/LOW nail change.
Step 2407(Cap), HIGH/LOW nail change.
Step 2408(Cap), HIGH/LOW nail change.
Step 2409(Cap), HIGH/LOW nail change.
Step 2410(Cap), HIGH/LOW nail change.
Step 2411(Cap), HIGH/LOW nail change.
Step 2412(Cap), HIGH/LOW nail change.
Step 2413(Cap), HIGH/LOW nail change.
Step 2414(Cap), HIGH/LOW nail change.
Step 2415(Cap), HIGH/LOW nail change.
Step 2416(Cap), HIGH/LOW nail change.
Step 2765, change MODE=2.
Step 2845(Cap), HIGH/LOW nail change.
