 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Part Pins List          0/2747 Selected Parts             10-Jan-2011 9:00
                                                           INCH units

Part        T/B
Pin   Name      X         Y     Layer  Net               Nail(s)

Part CN2    (T)


Part R2604  (B)

   1    1    -5.210    -4.247     2    GND               1
   2    2    -5.245    -4.247     2    KB_DET            898

Part R2605  (T)

   1    1    -4.458    -4.586     1    +3VRUN            19
   2    2    -4.493    -4.586     1    WIRELESS_ON#_W    863

Part R2606  (T)

   1    1    -4.622    -4.255     1    SMB_THRM_CLK      1614
   2    2    -4.587    -4.255     1    +3VRUN            19

Part R2609  (T)

   1    1    -4.827    -4.534     1    OVT_GFX#          870
   2    2    -4.827    -4.569     1    +3VRUN            19

Part R2611  (T)

   1    1    -4.205    -4.653     1    +3VSUS            18
   2    2    -4.205    -4.688     1    DAT_TP            861

Part R2612  (T)

   1    1    -4.664    -4.640     1    WLAN_RF_OFF#      1716
   2    2    -4.664    -4.605     1    +3VALW            20

Part R2615  (T)

   1    1    -5.445    -4.042     1    EC_GPD6           901
   2    2    -5.445    -4.007     1    FAN_TACH          1598

Part R2616  (T)

   1    1    -4.723    -3.801     1    32KXCLKI          773
   2    2    -4.688    -3.801     1    GND               1

Part R2617  (T)

   1    1    -5.493    -3.674     1    N46044711         922
   2    2    -5.458    -3.674     1    GND               1

Part R2621  (T)

   1    1    -4.751    -4.464     1    N35208272         869
   2    2    -4.751    -4.499     1    N30905011         871

Part R2701  (T)

   1    1    -6.246    -4.922     1    +ECVCC            16
   2    2    -6.211    -4.922     1    N70345209         1005

Part R2801  (B)

   1    1     0.208    -3.090     2    N34794850         1423
   2    2     0.173    -3.090     2    LED_DET#_W_EESK   1422

Part R2802  (B)

   1    1     0.261    -2.379     2    LED_ACT#_A        1428
   2    2     0.296    -2.379     2    N34794879         1427

Part R2803  (B)

   1    1    -0.419    -5.045     2    +3VALW            20
   2    2    -0.419    -5.098     2    N78901501         

Part R2804  (B)

   1    1    -0.231    -4.892     2    N78869695         
   2    2    -0.266    -4.892     2    LAN_EN#           1384

Part R2901  (T)

   1    1   -10.454    -1.162     1    DMIC_CLK          1148
   2    2   -10.489    -1.162     1    DMIC_CLK_R        1164

Part R2902  (T)

   1    1   -10.923    -0.877     1    N61841078         1182
   2    2   -10.976    -0.877     1    +AVDD             17

Part R2903  (T)

   1    1   -10.587    -0.796     1    +AVDD             17
   2    2   -10.587    -0.831     1    SENSEA            1735

Part R2904  (T)

   1    1   -11.018    -0.809     1    GND               1
   2    2   -10.911    -0.809     1    A_GND             1152

Part R2905  (B)

   1    1    -3.493    -1.786     2    DCBATOUT          4
   2    2    -3.440    -1.786     2    N47763683         678

Part R2906  (T)

   1    1   -10.360    -0.755     1    N71853783         1157
   2    2   -10.325    -0.755     1    A_GND             1152

Part R2907  (T)

   1    1   -10.325    -0.835     1    N71853859         1156
   2    2   -10.360    -0.835     1    N71853783         1157

Part R2908  (T)

   1    1   -10.119    -0.888     1    +AVDD             17
   2    2   -10.154    -0.888     1    N71853787         1150

Part R2913  (T)

   1    1   -10.448    -0.881     1    +3VRUN            19
   2    2   -10.483    -0.881     1    HDA_CODEC_RST#    1158

Part R2914  (T)

   1    1   -10.395    -1.046     1    GND               1
   2    2   -10.395    -1.082     1    N81151874         1154

Part R2915  (T)

   1    1   -10.012    -0.960     1    +3VRUN            19
   2    2    -9.977    -0.960     1    HDA_CODEC_SYNC_R  1147

Part R3003  (T)

   1    1   -11.127    -0.943     1    +AVDD             17
   2    2   -11.127    -0.978     1    N30174507         1187

Part R3004  (T)

   1    1   -11.041    -1.066     1    +AVDD             17
   2    2   -11.006    -1.066     1    N30174501         1181

Part R3005  (T)

   1    1   -11.006    -1.026     1    N30174501         1181
   2    2   -11.041    -1.026     1    A_GND             1152

Part R3007  (T)

   1    1   -10.816    -1.493     1    SENSEA            1735
   2    2   -10.816    -1.458     1    N30171154         

Part R3008  (T)

   1    1   -10.771    -1.494     1    +AVDD             17
   2    2   -10.771    -1.459     1    HP_JACK_DET       1168

Part R3009  (T)

   1    1   -11.142    -1.094     1    +AVDD             17
   2    2   -11.178    -1.094     1    COMBO_JACK_DET    1188

Part R3604  (T)

   1    1    -6.505    -2.607     1    USB_PN2_R         1015
   2    2    -6.505    -2.642     1    USB_PN2           1010

Part R3606  (T)

   1    1    -6.465    -2.607     1    USB_PP2_R         1014
   2    2    -6.465    -2.642     1    USB_PP2           1011

Part R4001  (B)

   1    1    -3.565    -2.192     2    SYS_SHDN#         1613
   2    2    -3.565    -2.157     2    +3VRUN            19

Part R4002  (B)

   1    1    -3.605    -2.192     2    SYS_SHDN#         1613
   2    2    -3.605    -2.157     2    SYS_SHDN#_R       1610

Part R4003  (B)

   1    1    -3.852    -2.015     2    +3VRUN            19
   2    2    -3.887    -2.015     2    OVT_EC#           1012

Part R4004  (B)

   1    1    -3.852    -2.055     2    R_OVT_EC#         1599
   2    2    -3.887    -2.055     2    OVT_EC#           1012

Part R4101  (B)

   1    1    -4.077    -2.300     2    FAN_PWM           1597
   2    2    -4.112    -2.300     2    N83642905         1596

Part R4102  (B)

   1    1    -4.079    -2.244     2    FAN_TACH          1598
   2    2    -4.114    -2.244     2    N81548093         1595

Part R5602  (T)

   1    1    -2.764    -3.395     1    DGPU_RST#         580
   2    2    -2.764    -3.430     1    N134862133        578

Part R5702  (T)

   1    1    -2.013    -2.723     1    ATI_DAC1HSYNC     488
   2    2    -2.013    -2.688     1    +3V_DELAY         22

Part R5802  (T)

   1    1    -2.402    -3.660     1    ATI_GPIO22        505
   2    2    -2.438    -3.660     1    +3V_DELAY         22

Part R5902  (T)

   1    1    -2.136    -3.471     1    GPU_THERM         1537
   2    2    -2.136    -3.506     1    N86406039         515

Part R6014  (B)

   1    1    -0.581    -2.843     2    FBA_CLK0          
   2    2    -0.581    -2.808     2    +1.5VRUNVGA       484

Part R6015  (B)

   1    1    -0.621    -2.843     2    FBA_CLK0#         
   2    2    -0.621    -2.808     2    +1.5VRUNVGA       484

Part R6016  (T)

   1    1    -0.822    -2.808     1    +1.5VRUNVGA       484
   2    2    -0.822    -2.843     1    VREFD1_A0         483

Part R6017  (T)

   1    1    -0.224    -3.006     1    +1.5VRUNVGA       484
   2    2    -0.189    -3.006     1    VREFD2_A0         310

Part R6018  (T)

   1    1    -0.417    -2.808     1    +1.5VRUNVGA       484
   2    2    -0.417    -2.843     1    VREFC_A0          

Part R6019  (T)

   1    1    -0.782    -2.808     1    GND               1
   2    2    -0.782    -2.843     1    VREFD1_A0         483

Part R6020  (T)

   1    1    -0.184    -2.886     1    GND               1
   2    2    -0.219    -2.886     1    VREFD2_A0         310

Part R6021  (T)

   1    1    -0.497    -2.808     1    GND               1
   2    2    -0.497    -2.843     1    VREFC_A0          

Part R6022  (B)

   1    1    -0.787    -2.808     2    +1.5VRUNVGA       484
   2    2    -0.787    -2.843     2    VREFD2_MA0        

Part R6023  (B)

   1    1    -0.747    -2.808     2    GND               1
   2    2    -0.747    -2.843     2    VREFD2_MA0        

Part R6024  (B)

   1    1    -0.224    -3.006     2    +1.5VRUNVGA       484
   2    2    -0.189    -3.006     2    VREFD1_MA0        

Part R6025  (B)

   1    1    -0.184    -2.886     2    GND               1
   2    2    -0.219    -2.886     2    VREFD1_MA0        

Part R6026  (B)

   1    1    -0.417    -2.808     2    +1.5VRUNVGA       484
   2    2    -0.417    -2.843     2    VREFC_MA0         

Part R6027  (B)

   1    1    -0.497    -2.808     2    GND               1
   2    2    -0.497    -2.843     2    VREFC_MA0         

Part R6028  (B)

   1    1    -0.221    -4.031     2    +1.5VRUNVGA       484
   2    2    -0.186    -4.031     2    VREFD2_A1         1413

Part R6029  (B)

   1    1    -0.186    -3.951     2    GND               1
   2    2    -0.221    -3.951     2    VREFD2_A1         1413

Part R6030  (B)

   1    1    -0.556    -4.316     2    +1.5VRUNVGA       484
   2    2    -0.556    -4.281     2    VREFD1_A1         1516

Part R6031  (B)

   1    1    -0.637    -4.315     2    GND               1
   2    2    -0.637    -4.280     2    VREFD1_A1         1516

Part R6032  (B)

   1    1    -0.389    -4.314     2    +1.5VRUNVGA       484
   2    2    -0.389    -4.279     2    VREFC_A1          1412

Part R6033  (B)

   1    1    -0.306    -4.314     2    GND               1
   2    2    -0.306    -4.279     2    VREFC_A1          1412

Part R6034  (T)

   1    1    -0.532    -4.314     1    +1.5VRUNVGA       484
   2    2    -0.532    -4.279     1    VREFD2_MA1        250

Part R6035  (T)

   1    1    -0.612    -4.314     1    GND               1
   2    2    -0.612    -4.279     1    VREFD2_MA1        250

Part R6036  (B)

   1    1    -0.091    -3.968     2    +1.5VRUNVGA       484
   2    2    -0.091    -3.933     2    VREFD1_MA1        257

Part R6037  (T)

   1    1    -0.140    -3.845     1    GND               1
   2    2    -0.140    -3.880     1    VREFD1_MA1        257

Part R6038  (T)

   1    1    -0.369    -4.312     1    +1.5VRUNVGA       484
   2    2    -0.369    -4.277     1    VREFC_MA1         255

Part R6039  (T)

   1    1    -0.449    -4.314     1    GND               1
   2    2    -0.449    -4.279     1    VREFC_MA1         255

Part R6040  (T)

   1    1    -0.979    -4.124     1    FBA_CLK1#         
   2    2    -0.979    -4.159     1    +1.5VRUNVGA       484

Part R6041  (T)

   1    1    -1.019    -4.124     1    FBA_CLK1          
   2    2    -1.019    -4.159     1    +1.5VRUNVGA       484

Part R6042  (B)

   1    1    -1.246    -4.958     2    GND               1
   2    2    -1.246    -4.923     2    VREFD1_MB0        1529

Part R6043  (B)

   1    1    -0.981    -4.541     2    GND               1
   2    2    -1.016    -4.541     2    VREFD2_MB0        1525

Part R6044  (B)

   1    1    -0.981    -4.701     2    GND               1
   2    2    -1.016    -4.701     2    VREFC_MB0         1527

Part R6045  (T)

   1    1    -0.981    -4.541     1    GND               1
   2    2    -1.016    -4.541     1    VREFD1_B0         536

Part R6046  (T)

   1    1    -1.102    -4.234     1    FBC_CLK0#         
   2    2    -1.067    -4.234     1    +1.5VRUNVGA       484

Part R6047  (T)

   1    1    -1.246    -4.958     1    GND               1
   2    2    -1.246    -4.923     1    VREFD2_B0         

Part R6048  (T)

   1    1    -1.102    -4.194     1    FBC_CLK0          
   2    2    -1.067    -4.194     1    +1.5VRUNVGA       484

Part R6049  (T)

   1    1    -0.981    -4.741     1    GND               1
   2    2    -1.016    -4.741     1    VREFC_B0          541

Part R6050  (T)

   1    1    -2.362    -4.204     1    FBC_CLK1#         
   2    2    -2.397    -4.204     1    +1.5VRUNVGA       484

Part R6051  (T)

   1    1    -2.362    -4.164     1    FBC_CLK1          
   2    2    -2.397    -4.164     1    +1.5VRUNVGA       484

Part R6052  (B)

   1    1    -2.488    -4.248     2    GND               1
   2    2    -2.453    -4.248     2    VREFD1_B1         

Part R6053  (B)

   1    1    -2.116    -4.955     2    GND               1
   2    2    -2.116    -4.920     2    VREFD2_B1         1530

Part R6054  (B)

   1    1    -2.481    -4.612     2    GND               1
   2    2    -2.446    -4.612     2    VREFC_B1          

Part R6055  (T)

   1    1    -2.116    -4.955     1    GND               1
   2    2    -2.116    -4.920     1    VREFD1_MB1        

Part R6056  (T)

   1    1    -2.481    -4.248     1    GND               1
   2    2    -2.446    -4.248     1    VREFD2_MB1        544

Part R6057  (T)

   1    1    -2.481    -4.612     1    GND               1
   2    2    -2.446    -4.612     1    VREFC_MB1         

Part R6283  (T)

   1    1    -2.582    -3.390     1    ATI_GPIO22        505
   2    2    -2.582    -3.409     1    N86310881         575

Part R6284  (T)

   1    1    -2.611    -3.390     1    ATI_GPIO8         574
   2    2    -2.611    -3.409     1    N86310914         1548

Part R6285  (T)

   1    1    -2.642    -3.390     1    +3V_DELAY         22
   2    2    -2.642    -3.409     1    N86310839         579

Part R6286  (T)

   1    1    -2.648    -3.715     1    N86674571         1544
   2    2    -2.648    -3.734     1    ATI_GPIO10        1541

Part R6287  (T)

   1    1    -2.681    -3.715     1    N86674591         1543
   2    2    -2.681    -3.734     1    ATI_GPIO9         576

Part R6288  (T)

   1    1    -2.672    -3.391     1    GND               1
   2    2    -2.672    -3.409     1    N86310839         579

Part R6902  (T)

   1    1    -3.392    -5.059     1    +3VRUN            19
   2    2    -3.427    -5.059     1    DGPU_PWR_EN       596

Part R7701  (T)

   1    1    -9.580    -1.145     1    USB_PWR_EN        1132
   2    2    -9.545    -1.145     1    N33040477         1131

Part R7710  (T)

   1    1    -3.697    -4.689     1    PX_EN#            601
   2    2    -3.697    -4.654     1    +5VRUN            9

Part R7711  (T)

   1    1    -3.611    -4.606     1    PX_EN##           606
   2    2    -3.646    -4.606     1    +5VRUN            9

Part R7712  (T)

   1    1    -3.454    -4.396     1    BIF_VDDC          1623
   2    2    -3.507    -4.396     1    VDD_CORE          31

Part R9901  (T)

   1    1   -10.472    -1.046     1    HDA_CODEC_BITCLK  1480
   2    2   -10.491    -1.046     1    HDA_CODEC_BITCLK_R  1736

Part R9902  (T)

   1    1    -5.871    -4.867     1    N47140384         890
   2    2    -5.871    -4.902     1    SPI_ROM_WP#_R     888

Part R9903  (T)

   1    1    -6.211    -4.874     1    SPI_ROM_CLK_F     1006
   2    2    -6.246    -4.874     1    SPI_ROM_CLK       1621

Part R9904  (T)

   1    1    -2.137    -3.633     1    ATI_INV_EN        502
   2    2    -2.112    -3.658     1    +3V_DELAY         22

Part R9905  (B)

   1    1    -2.482    -2.772     2    GDDR5_27M         1563
   2    2    -2.463    -2.772     2    N17406537         1550

Part R9906  (B)

   1    1    -2.681    -2.600     2    GDDR5_100M        1567
   2    2    -2.681    -2.565     2    N17409835         1568

Part R9907  (B)

   1    1    -2.398    -2.887     2    R_XTALIN          573
   2    2    -2.398    -2.868     2    N17406537         1550

Part R9908  (B)

   1    1    -2.258    -2.688     2    +3V_DELAY         22
   2    2    -2.258    -2.723     2    N18635783         1559

Part R9909  (B)

   1    1    -2.463    -2.802     2    N17406537         1550
   2    2    -2.482    -2.802     2    GND               1

Part R9910  (B)

   1    1    -2.640    -2.565     2    N17409835         1568
   2    2    -2.640    -2.600     2    GND               1

Part R9911  (B)

   1    1    -2.749    -2.705     2    +3V_DELAY         22
   2    2    -2.730    -2.705     2    N79931643         1565

Part R9912  (B)

   1    1    -2.458    -2.650     2    N79931637         1562
   2    2    -2.458    -2.669     2    +3V_DELAY         22

Part R9913  (B)

   1    1    -2.699    -2.700     2    N79931643         1565
   2    2    -2.699    -2.719     2    GND               1

Part R9914  (B)

   1    1    -2.493    -2.669     2    N79931637         1562
   2    2    -2.493    -2.650     2    GND               1

Part R9915  (T)

   1    1    -1.944    -4.173     1    MEM_RST#2         543
   2    2    -1.944    -4.208     1    MEM_RST#          542

Part R9916  (T)

   1    1   -10.627    -0.831     1    SENSEB            1160
   2    2   -10.627    -0.796     1    +AVDD             17

Part R9924  (B)

   1    1    -2.299    -2.688     2    GND               1
   2    2    -2.299    -2.723     2    N18635783         1559

Part R9925  (T)

   1    1    -5.690    -3.782     1    +3VRUN            19
   2    2    -5.690    -3.817     1    N25084480         915

Part R9926  (B)

   1    1    -5.665    -3.897     2    G_INT#            302
   2    2    -5.665    -3.932     2    N25084400         1655

Part R9928  (T)

   1    1    -5.650    -3.817     1    N25084500         916
   2    2    -5.650    -3.782     1    GND               1

Part R9932  (B)

   1    1    -0.148    -5.083     2    GND               1
   2    2    -0.113    -5.083     2    RREF              

Part RP2    (T)

   1    1    -6.050    -2.760     1    GND               1
   2    2    -6.076    -2.760     1    GND               1
   3    3    -6.076    -2.803     1    SA0_DIM0          
   4    4    -6.050    -2.803     1    SA1_DIM0          987

Part RP3    (T)

   1    1    -0.612    -1.135     1    CLK_PEG#          
   2    2    -0.587    -1.135     1    CLK_PEG           
   3    3    -0.587    -1.092     1    PCIE_REFCLK       65
   4    4    -0.612    -1.092     1    PCIE_REFCLK#      

Part RP4    (T)

   1    1    -1.397    -1.975     1    H_RCIN#_D         462
   2    2    -1.397    -1.950     1    CRIT_TEMP_REP#    1639
   3    3    -1.397    -1.925     1    EXTSMI#_R         321
   4    4    -1.397    -1.900     1    H_A20GATE_D       447
   5    5    -1.397    -1.875     1    +3VRUN            19
   6    6    -1.463    -1.875     1    ID_LPC_PCI#       1481
   7    7    -1.463    -1.900     1    DISPLAY_SEL       446
   8    8    -1.463    -1.925     1    GPIO48            468
   9    9    -1.463    -1.950     1    RUNTIME_SCI#_D    469
  10   10    -1.463    -1.975     1    +3VRUN            19

Part RP8    (B)

   1    1    -0.064    -1.798     2    R_CLK_PCIE_MINI#  1249
   2    2    -0.064    -1.772     2    R_CLK_PCIE_MINI   1250
   3    3    -0.021    -1.772     2    CLK_PCIE_MINI     1444
   4    4    -0.021    -1.798     2    CLK_PCIE_MINI#    1443

Part RP9    (T)

   1    1    -0.721    -1.135     1    CLK_DMI_CLK       97
   2    2    -0.696    -1.135     1    CLK_DMI_CLK#      101
   3    3    -0.696    -1.091     1    PCH_CPU_CLK#      401
   4    4    -0.721    -1.091     1    PCH_CPU_CLK       400

Part RP11   (B)

   1    1    -0.064    -1.852     2    R_CLK_PCIE_LAN#   
   2    2    -0.064    -1.826     2    R_CLK_PCIE_LAN    
   3    3    -0.020    -1.826     2    CLK_PCIE_LAN      
   4    4    -0.020    -1.852     2    CLK_PCIE_LAN#     247

Part RP13   (B)

   1    1    -0.176    -2.386     2    +3VRUN            19
   2    2    -0.196    -2.386     2    +3VRUN            19
   3    3    -0.215    -2.386     2    +3VRUN            19
   4    4    -0.235    -2.386     2    +3VRUN            19
   5    5    -0.235    -2.343     2    G_INT#            302
   6    6    -0.215    -2.343     2    INT_PIRQC#        1433
   7    7    -0.196    -2.343     2    NC__2523          
   8    8    -0.176    -2.343     2    INT_PIRQA#        

Part RP14   (B)

   1    1    -0.086    -2.386     2    +3VRUN            19
   2    2    -0.106    -2.386     2    +3VRUN            19
   3    3    -0.125    -2.386     2    +3VRUN            19
   4    4    -0.145    -2.386     2    +3VRUN            19
   5    5    -0.145    -2.343     2    INT_PIRQG#        
   6    6    -0.125    -2.343     2    PCI_REQ#1         
   7    7    -0.106    -2.343     2    INT_PIRQD#        
   8    8    -0.086    -2.343     2    NC__2524          

Part RP15   (B)

   1    1    -0.266    -2.386     2    +3VRUN            19
   2    2    -0.286    -2.386     2    +3VRUN            19
   3    3    -0.305    -2.386     2    +3VRUN            19
   4    4    -0.325    -2.386     2    +3VRUN            19
   5    5    -0.325    -2.343     2    PCI_REQ#2         362
   6    6    -0.305    -2.343     2    INT_PIRQB#        
   7    7    -0.286    -2.343     2    SATA_ODD_DA#      1115
   8    8    -0.266    -2.343     2    PCI_REQ#3         303

Part RP16   (B)

   1    1    -0.932    -2.335     2    USB_OC#0          1133
   2    2    -0.907    -2.335     2    USB_OC#7          
   3    3    -0.882    -2.335     2    USB_OC#3          
   4    4    -0.857    -2.335     2    USB_OC#1          328
   5    5    -0.831    -2.335     2    +3VALW            20
   6    6    -0.831    -2.401     2    USB_OC#2          
   7    7    -0.857    -2.401     2    USB_OC#5          
   8    8    -0.882    -2.401     2    USB_OC#4          326
   9    9    -0.907    -2.401     2    USB_OC#6          481
  10   10    -0.932    -2.401     2    +3VALW            20

Part RP18   (T)

   1    1    -0.338    -2.647     1    HDA_CODEC_SYNC    1136
   2    2    -0.312    -2.647     1    HDA_CODEC_SDATAOUT  691
   3    3    -0.312    -2.603     1    IHDA_SDATAO       429
   4    4    -0.338    -2.603     1    IHDA_SYNC         322

Part RP25   (B)

   1    1    -0.064    -1.747     2    R_CLK_PCIE_USB30#  
   2    2    -0.064    -1.721     2    R_CLK_PCIE_USB30  
   3    3    -0.020    -1.721     2    CLK_PCIE_USB30    386
   4    4    -0.020    -1.747     2    CLK_PCIE_USB30#   385

Part RP26   (T)

   1    1     0.093    -2.037     1    R_CLK_PCIE_CR#    
   2    2     0.093    -2.063     1    R_CLK_PCIE_CR     
   3    3     0.137    -2.063     1    CLK_PCIE_CR       296
   4    4     0.137    -2.037     1    CLK_PCIE_CR#      295

Part CN3    (B)

   1    1     0.789    -4.154     2    GND               1
   2    2     0.561    -4.154     2    GND               1
   3    3     0.789    -4.173     2    USB_PWR_EN        1132
   4    4     0.561    -4.173     2    CLK_PCIE_USB30    386
   5    5     0.789    -4.193     2    PLT_RST#          604
   6    6     0.561    -4.193     2    CLK_PCIE_USB30#   385
   7    7     0.789    -4.213     2    PCIE_WAKE#        1409
   8    8     0.561    -4.213     2    GND               1
   9    9     0.789    -4.232     2    USB30_CLKREQ4#    482
  10   10     0.561    -4.232     2    USB30_TXN1        396
  11   11     0.789    -4.252     2    USB30_SMI         1410
  12   12     0.561    -4.252     2    USB30_TXP1        397
  13   13     0.789    -4.272     2    +5VRUN            9
  14   14     0.561    -4.272     2    GND               1
  15   15     0.789    -4.291     2    +3VSUS            18
  16   16     0.561    -4.291     2    USB30_RXN1        1404
  17   17     0.789    -4.311     2    +1.5VSUS          27
  18   18     0.561    -4.311     2    USB30_RXP1        1406
  19   19     0.789    -4.331     2    +1.5VSUS          27
  20   20     0.561    -4.331     2    GND               1
  21   21     0.789    -4.350     2    +5VALW            12
  22   22     0.561    -4.350     2    G_INT_LED         1403
  23   23     0.789    -4.370     2    +5VALW            12
  24   24     0.561    -4.370     2    SATA_LED#         1405
  25   25     0.789    -4.390     2    +5VALW            12
  26   26     0.561    -4.390     2    +3VRUN            19
  27   27     0.789    -4.409     2    +5VALW            12
  28   28     0.561    -4.409     2    POWER_LED_W_D     1402
  29   29     0.789    -4.429     2    +5VALW            12
  30   30     0.561    -4.429     2    GND               1
  31   31     0.561    -4.069     2    GND               1
  32   32     0.789    -4.069     2    GND               1
  33   33     0.561    -4.514     2    GND               1
  34   34     0.789    -4.514     2    GND               1
  35   35     0.675    -4.069     2    GND               1
  36   36     0.675    -4.514     2    GND               1

Part CN4    (T)

   1    1    -1.545     0.002     1    N39164218         409
   2    2    -1.564     0.002     1    N39164218         409
   3    3    -1.584     0.002     1    N39164218         409
   4    4    -1.604     0.002     1    DMIC_DAT_L        407
   5    5    -1.624     0.002     1    DMIC_CLK_L        408
   6    6    -1.643     0.002     1    +3V_CAM           23
   7    7    -1.663     0.002     1    NC__2050          
   8    8    -1.683     0.002     1    GND               1
   9    9    -1.702     0.002     1    USB13_CAM_F       423
  10   10    -1.722     0.002     1    USB13_CAM#_F      422
  11   11    -1.742     0.002     1    GND               1
  12   12    -1.761     0.002     1    NC__2051          
  13   13    -1.781     0.002     1    +3VRUN            19
  14   14    -1.801     0.002     1    +3VRUN            19
  15   15    -1.820     0.002     1    NC__2052          
  16   16    -1.840     0.002     1    GND               1
  17   17    -1.860     0.002     1    GND               1
  18   18    -1.879     0.002     1    GND               1
  19   19    -1.899     0.002     1    IGPU_LVDSA_CLK#   195
  20   20    -1.919     0.002     1    IGPU_LVDSA_CLK    196
  21   21    -1.938     0.002     1    GND               1
  22   22    -1.958     0.002     1    IGPU_LVDSA_DATA#0  207
  23   23    -1.978     0.002     1    IGPU_LVDSA_DATA0  206
  24   24    -1.998     0.002     1    GND               1
  25   25    -2.017     0.002     1    IGPU_LVDSA_DATA#1  197
  26   26    -2.037     0.002     1    IGPU_LVDSA_DATA1  198
  27   27    -2.057     0.002     1    GND               1
  28   28    -2.076     0.002     1    IGPU_LVDSA_DATA#2  199
  29   29    -2.096     0.002     1    IGPU_LVDSA_DATA2  200
  30   30    -2.116     0.002     1    GND               1
  31   31    -2.135     0.002     1    IGPU_DDC2CLK      202
  32   32    -2.155     0.002     1    IGPU_DDC2DATA     201
  33   33    -2.175     0.002     1    GND               1
  34   34    -2.194     0.002     1    GND               1
  35   35    -2.214     0.002     1    INV_ENABLE        411
  36   36    -2.234     0.002     1    INV_BRADJ         412
  37   37    -2.253     0.002     1    NC__2053          
  38   38    -2.273     0.002     1    N25507880         413
  39   39    -2.293     0.002     1    N25507880         413
  40   40    -2.313     0.002     1    N25507880         413
  41   41    -1.578    -0.152     1    GND               1
  42   42    -1.929    -0.152     1    GND               1
  43   43    -2.279    -0.152     1    GND               1
  44   44    -1.450    -0.077     1    GND               1
  45   45    -2.407    -0.077     1    GND               1

Part CN15   (B)

   1    1    -4.350    -2.243     2    N81548093         1595
   2    2    -4.350    -2.293     2    GND               1
   3    3    -4.350    -2.342     2    N83642905         1596
   4    4    -4.350    -2.391     2    +5VRUN            9
   5    5    -4.235    -2.143     2    GND               1
   6    6    -4.235    -2.491     2    GND               1

Part CN17   (T)

   1    1    -6.587    -2.392     1    N43632740         1016
   2    2    -6.686    -2.376     0    +3V_WLAN          21
   3    3    -6.587    -2.360     1    NC__2004          
   4    4    -6.686    -2.345     0    GND               1
   5    5    -6.587    -2.329     1    NC__2005          
   6    6    -6.686    -2.313     0    +1_5V_WLAN        26
   7    7    -6.587    -2.297     1    MINI_CARD_DET#    1017
   8    8    -6.686    -2.282     0    LPC_FRAME#_R      1021
   9    9    -6.587    -2.266     1    GND               1
  10   10    -6.686    -2.250     0    LPC_AD3_R         1019
  11   11    -6.587    -2.234     1    CLK_PCIE_MINI#    1443
  12   12    -6.686    -2.219     0    LPC_AD2_R         1718
  13   13    -6.587    -2.203     1    CLK_PCIE_MINI     1444
  14   14    -6.686    -2.187     0    LPC_AD1_R         1018
  15   15    -6.587    -2.171     1    GND               1
  16   16    -6.686    -2.156     0    LPC_AD0_R         1717
  17   17    -6.587    -2.014     1    NC__2006          
  18   18    -6.686    -1.998     0    GND               1
  19   19    -6.587    -1.982     1    BT_OFF#_R1        311
  20   20    -6.686    -1.967     0    WLAN_RF_OFF#      1716
  21   21    -6.587    -1.951     1    GND               1
  22   22    -6.686    -1.935     0    PLT_RST#          604
  23   23    -6.587    -1.919     1    MINI_RXN3         1252
  24   24    -6.686    -1.904     0    +3V_WLAN          21
  25   25    -6.587    -1.888     1    MINI_RXP3         1251
  26   26    -6.686    -1.872     0    GND               1
  27   27    -6.587    -1.857     1    GND               1
  28   28    -6.686    -1.841     0    +1_5V_WLAN        26
  29   29    -6.587    -1.825     1    GND               1
  30   30    -6.686    -1.809     0    NC__2002          
  31   31    -6.587    -1.794     1    MINI_TXN3_C       374
  32   32    -6.686    -1.778     0    NC__2003          
  33   33    -6.587    -1.762     1    MINI_TXP3_C       375
  34   34    -6.686    -1.746     0    GND               1
  35   35    -6.587    -1.731     1    GND               1
  36   36    -6.686    -1.715     0    USB_PN2_R         1015
  37   37    -6.587    -1.699     1    GND               1
  38   38    -6.686    -1.683     0    USB_PP2_R         1014
  39   39    -6.587    -1.668     1    +3V_WLAN          21
  40   40    -6.686    -1.652     0    GND               1
  41   41    -6.587    -1.636     1    +3V_WLAN          21
  42   42    -6.686    -1.620     0    LED_WLAN_LINK#    1022
  43   43    -6.587    -1.605     1    GND               1
  44   44    -6.686    -1.589     0    LED_WLAN_LINK#    1022
  45   45    -6.587    -1.573     1    NC__2007          
  46   46    -6.686    -1.557     0    LED_WLAN_LINK#    1022
  47   47    -6.587    -1.542     1    NC__2008          
  48   48    -6.686    -1.526     0    +1_5V_WLAN        26
  49   49    -6.587    -1.510     1    NC__2009          
  50   50    -6.686    -1.494     0    GND               1
  51   51    -6.587    -1.479     1    BT_OFF#_R         1023
  52   52    -6.686    -1.463     0    +3V_WLAN          21
